epsilon,base_acc,priv_acc,acc_loss,dp_race,priv_dp_race,base_mia,priv_mia,mia_gain
0.1,0.8506064793489944,0.5163519115614924,0.33425456778750195,0.2089041095890411,0.13273972602739725,0.46950000000000003,0.521,-0.05149999999999999
0.5,0.8506064793489944,0.5619530170428374,0.28865346230615696,0.2089041095890411,0.010342465753424679,0.5195000000000001,0.5025,0.017000000000000126
1.0,0.8506064793489944,0.6127744510978044,0.23783202825119,0.2089041095890411,0.010342465753424679,0.4965,0.4875,0.009000000000000008
2.0,0.8506064793489944,0.6740365423000153,0.17656993704897905,0.2089041095890411,0.011369863013698633,0.509,0.498,0.01100000000000001
5.0,0.8506064793489944,0.7836634423460771,0.06694303700291726,0.2089041095890411,0.09452054794520548,0.508,0.487,0.02100000000000002
10.0,0.8506064793489944,0.8366344234607708,0.013972055888223589,0.2089041095890411,0.18020547945205478,0.473,0.494,-0.02100000000000002
